pno, rtt
482, 0.07069158554077148
483, 0.07896041870117188
484, 0.07561922073364258
485, 0.07984423637390137
486, 0.08825254440307617
487, 0.09026312828063965
488, 0.08911418914794922
489, 0.06530499458312988
490, 0.06862783432006836
491, 0.08825087547302246
492, 0.10961174964904785
493, 0.08782672882080078
494, 0.09891939163208008
495, 0.10052871704101562
496, 0.08043217658996582
497, 0.07257938385009766
498, 0.09549927711486816
499, 0.0878150463104248
500, 0.07818031311035156
501, 0.06798291206359863
502, 0.07634639739990234
503, 0.07821416854858398
504, 0.0747683048248291
505, 0.08035564422607422
506, 0.07796144485473633
507, 0.06869125366210938
508, 0.08709478378295898
509, 0.08123230934143066
510, 0.07681536674499512
511, 0.08601522445678711
512, 0.08390092849731445
513, 0.0733637809753418
514, 0.0662226676940918
515, 0.06881451606750488
516, 0.07576680183410645
517, 0.06962037086486816
518, 0.075103759765625
519, 0.06746721267700195
520, 0.07665085792541504
521, 0.06588053703308105
522, 0.07922148704528809
523, 0.06706714630126953
524, 0.06460213661193848
525, 0.07074213027954102
526, 0.07492661476135254
527, 0.07306385040283203
528, 0.07575559616088867
529, 0.07578635215759277
530, 0.0731351375579834
531, 0.0626986026763916
532, 0.07490253448486328
533, 0.07769060134887695
534, 0.08764147758483887
535, 0.07301759719848633
536, 0.06226634979248047
537, 0.07498645782470703
538, 0.07878422737121582
539, 0.07572388648986816
540, 0.07575178146362305
541, 0.07701921463012695
542, 0.07087063789367676
543, 0.08586454391479492
544, 0.08534097671508789
545, 0.07199788093566895
546, 0.07659673690795898
547, 0.06718587875366211
548, 0.0666654109954834
549, 0.07648706436157227
550, 0.08744668960571289
551, 0.07901310920715332
552, 0.08543801307678223
553, 0.07795572280883789
554, 0.0785665512084961
555, 0.07907986640930176
556, 0.0781407356262207
557, 0.07857799530029297
558, 0.07921910285949707
559, 0.06625556945800781
560, 0.06608080863952637
561, 0.06738567352294922
562, 0.0716104507446289
563, 0.07203412055969238
564, 0.07168817520141602
565, 0.08510422706604004
566, 0.07685661315917969
567, 0.068359375
568, 0.07528543472290039
569, 0.0787651538848877
570, 0.07156205177307129
571, 0.06784367561340332
572, 0.07437443733215332
573, 0.07181978225708008
574, 0.1105351448059082
575, 0.0859065055847168
576, 0.07761597633361816
577, 0.07841849327087402
578, 0.07024526596069336
579, 0.07567930221557617
580, 0.07660245895385742
581, 0.11960959434509277
582, 0.07414817810058594
583, 0.06717896461486816
584, 0.08103656768798828
585, 0.06644248962402344
586, 0.06646037101745605
587, 0.0797739028930664
588, 0.09102439880371094
589, 0.08176136016845703
590, 0.07172536849975586
591, 0.08497738838195801
592, 0.07771492004394531
593, 0.0693063735961914
594, 0.07791280746459961
595, 0.06356215476989746
596, 0.09103870391845703
597, 0.09883546829223633
598, 0.07650470733642578
599, 0.0794229507446289
600, 0.07810688018798828
601, 0.07098937034606934
602, 0.0908043384552002
603, 0.07700324058532715
604, 0.0738518238067627
605, 0.08027958869934082
606, 0.0896000862121582
607, 0.09662628173828125
608, 0.07739591598510742
